,Unnamed: 0,player_mlb_id,playerID_LAHMAN,birthYear,birthMonth,birthDay,birthCountry,weight,height,bats,throws,debut,birthDate,year,years_after_debut,total_pa,total_bf,base_ended_inn,field_p,field_c,field_1b,field_2b,field_3b,field_ss,field_lf,field_cf,field_rf,batter_strikeout,pitcher_strikeout,batter_caught_stealing_3b,pitcher_caught_stealing_3b,batter_field_out,pitcher_field_out,batter_walk,pitcher_walk,batter_force_out,pitcher_force_out,batter_sac_fly,pitcher_sac_fly,batter_single,pitcher_single,batter_hit_by_pitch,pitcher_hit_by_pitch,batter_double,pitcher_double,batter_grounded_into_double_play,pitcher_grounded_into_double_play,batter_sac_bunt,pitcher_sac_bunt,batter_home_run,pitcher_home_run,batter_fielders_choice,pitcher_fielders_choice,batter_field_error,pitcher_field_error,batter_other_out,pitcher_other_out,batter_caught_stealing_2b,pitcher_caught_stealing_2b,batter_triple,pitcher_triple,batter_strikeout_double_play,pitcher_strikeout_double_play,batter_fielders_choice_out,pitcher_fielders_choice_out,batter_double_play,pitcher_double_play,batter_sac_fly_double_play,pitcher_sac_fly_double_play,batter_catcher_interf,pitcher_catcher_interf,batter_pickoff_caught_stealing_2b,pitcher_pickoff_caught_stealing_2b,batter_pickoff_2b,pitcher_pickoff_2b,batter_pickoff_caught_stealing_3b,pitcher_pickoff_caught_stealing_3b,batter_triple_play,pitcher_triple_play,batter_pickoff_1b,pitcher_pickoff_1b,batter_sac_bunt_double_play,pitcher_sac_bunt_double_play,batter_wild_pitch,pitcher_wild_pitch,batter_game_advisory,pitcher_game_advisory,batter_caught_stealing_home,pitcher_caught_stealing_home,batter_pickoff_3b,pitcher_pickoff_3b,batter_stolen_base_2b,pitcher_stolen_base_2b,batter_passed_ball,pitcher_passed_ball,batter_pickoff_caught_stealing_home,pitcher_pickoff_caught_stealing_home,batter_pickoff_error_3b,pitcher_pickoff_error_3b,batter_stolen_base_3b,pitcher_stolen_base_3b,batter_line_drive,pitcher_line_drive,batter_fly_ball,pitcher_fly_ball,batter_ground_ball,pitcher_ground_ball,batter_popup,pitcher_popup,hits,elig_pa,avg,tb,slg,obp,ops,babip,k_rate_batter,bb_rate_batter,hr_rate,iso,xbh,rc,pa_per_k,pa_per_bb,positions_played,k_bb_ratio_batter,earned_runs,outs_recorded,inherited_runners,innings_pitched,ERA,pitcher_hits_allowed,whip,k_rate_pitcher,bb_rate_pitcher,baa,k_bb_ratio_pitcher,avg_bf_per_outing,total_runs,batter_avg_exp_ba,pitcher_avg_exp_ba,fielding_att,mean_ba_on_field_att,errors,mean_ba_on_errors,field_pct,batter_fly_balls,batter_ground_balls,batter_line_drives,batter_pop_ups,fly_ball_ratio,ground_ball_ratio,line_drive_ratio,pop_up_ratio,gb_fb_ratio_batter,pitcher_fly_balls,pitcher_ground_balls,pitcher_line_drives,pitcher_pop_ups,gb_fb_ratio_pitcher,primary_position
10,10,9d1d3eb706cc040e7b2b4399ae24a0ab37d64484,8c3958fa78e8f0dfc54f1db1ca524f08430090ac,1991,5,5,USA,220,75,R,R,7/15/2017,5/5/1991,2021,4,0,239,0,239,0,0,0,0,0,0,0,0,0,76,0,0,0,65,0,33,0,1,0,3,0,16,0,24,0,10,0,4,0,3,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,36,0,38,0,9,0,0,,0,,,,,,,0.00418410041841,,0,,,,1,,20.0,149.0,741.0,49.66666666666666,3.624161073825504,28,0.4093959731543624,0.3179916317991632,0.1380753138075313,0.1171548117154811,2.303030303030303,2.581589958158996,,,0.2897264150943396,5.0,0.1948,,,,,,,,inf,inf,inf,inf,,28.0,36.0,25.0,17.0,1.2857142857142858,p
11,11,62e72eb7cb31f026a09374683dfdc5b318d6ddd7,e116ae31a2fbc4df150ce8046864fdebf1b67ac1,1994,8,10,USA,215,73,R,R,8/4/2018,8/10/1994,2021,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,0,,,,0,,0.0,,0.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12,14c00439500ed1324a46a3b56fe013675b339e12,d3c2453fc77561c4f04e30af6c3e3b5918aa3aa0,1989,11,13,USA,190,76,R,R,9/1/2014,11/13/1989,2021,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,0,,,,0,,0.0,,0.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,13,c296dc19142d27a8a0d4a738256f7423945d04b6,34954a3b5ca8f1b45f0b7b34e6249751c28262e1,1988,8,31,USA,245,75,L,R,5/20/2012,8/31/1988,2021,9,39,0,0,0,0,210,0,0,0,0,0,0,9,0,0,0,18,0,3,0,0,0,0,0,5,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,14,0,2,0,6,36,0.1666666666666666,7,0.1944444444444444,0.2307692307692307,0.4252136752136752,0.1666666666666666,0.25,0.0833333333333333,,0.0277777777777777,1,1.75,4.0,12.0,1,3.0,0.0,,0.0,0.0,0.0,0,,,,,,,3.0,0.1844074074074074,,15.0,0.1920666666666667,,,,8.0,13.0,4.0,2.0,,,,,1.625,,,,,,1b
14,14,07fdf16fffcf71dcb7fb848addba74df1ee36048,eda6abd92fa24d81467535459a71e1222831d7ec,1996,6,26,USA,249,76,R,R,6/8/2021,6/26/1996,2021,0,120,0,1,0,1071,0,0,0,0,0,0,0,40,0,0,0,30,0,15,0,4,0,0,0,11,0,6,0,8,0,2,0,0,0,2,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,17,0,27,0,0,0,22,105,0.2095238095238095,38,0.3619047619047619,0.3412698412698413,0.7031746031746031,0.1941747572815534,0.3809523809523809,0.1428571428571428,,0.1523809523809523,11,13.39047619047619,2.625,7.0,1,2.6666666666666665,0.0,,0.0,0.0,0.0,0,,,,,,,10.0,0.3325423728813559,,240.0,0.0498333333333333,,,,9.0,25.0,19.0,6.0,,,,,2.7777777777777777,,,,,,c
15,15,05063158c29992d07eec3d01671a8ce5eb0f55f6,73ecbb8bbab9bd87c60c3f7cce6259ba471cb89e,1985,5,15,CAN,210,74,L,L,9/1/2013,5/15/1985,2021,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,0,,,,0,,0.0,,0.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,16,25d492f82219a3acdde6d8b08201ba02ba3ff3a6,edb8e4217f1fc274933b9cb4646307ef65ff1fba,1999,4,8,USA,215,75,R,R,8/4/2020,4/8/1999,2021,1,140,0,0,0,0,0,0,0,0,718,0,598,32,0,0,0,55,0,8,0,4,0,0,0,21,0,1,0,5,0,3,0,1,0,4,0,0,0,2,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,18,0,47,0,8,0,32,131,0.2442748091603053,53,0.4045801526717557,0.2928571428571428,0.6974372955288985,0.2204724409448819,0.2442748091603053,0.0610687022900763,,0.1603053435114504,11,16.18320610687023,4.09375,16.375,2,4.0,0.0,,0.0,0.0,0.0,0,,,,,,,30.0,0.3232525252525253,,155.0,0.3525,,,,14.0,52.0,22.0,11.0,,,,,3.7142857142857135,,,,,,lf
17,17,dd6c9bdedfa4c202e82a5c8f13beec54e8a883c9,9cb98f4aebf2fb8f05160d8afcfd5a4c1c4063d0,1998,8,12,D.R.,246,74,R,R,10/3/2021,8/12/1998,2021,0,2,24,0,24,0,0,0,0,0,0,0,0,2,9,0,0,0,3,0,3,0,1,0,0,0,5,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,8,0,0,0,2,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0416666666666666,0.0,0,0.0,1.0,inf,1,inf,1.0,14.0,51.0,4.666666666666667,1.9285714285714284,6,0.6428571428571429,0.375,0.125,0.25,3.0,12.5,0.0,,0.3656363636363636,,,,,,,,,,0.0,4.5,1.0,0.0,,0.0,9.0,2.0,0.0,inf,p
18,18,083d603cf3249f2f57c04b16db50218beba3c152,b88a2f22db876835a11cbe2ba820e5ede7e7194d,1989,8,21,Venezuela,198,73,B,R,9/8/2013,8/21/1989,2021,8,209,0,0,0,0,0,167,355,71,192,13,484,41,0,0,0,83,0,21,0,5,0,3,0,29,0,2,0,9,0,4,0,1,0,5,0,1,0,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,31,0,59,0,14,0,45,184,0.2445652173913043,73,0.3967391304347826,0.3285024154589372,0.7252415458937198,0.2234636871508379,0.2228260869565217,0.1141304347826086,,0.1521739130434782,16,26.18478260869565,4.487804878048781,8.761904761904763,6,1.9523809523809523,0.0,,0.0,0.0,0.0,0,,,,,,,31.0,0.3222727272727272,,103.0,0.3161747572815534,,,,39.0,58.0,37.0,9.0,,,,,1.4871794871794872,,,,,,rf
19,19,dd88f2a4e7bcda4bc31f4b14b9dad03479201e7d,46f7714e8268e7cfa3e4a8a6f7bc240186f8266f,1994,12,28,Panama,225,74,R,R,6/15/2019,12/28/1994,2021,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,0,,,,0,,0.0,,0.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,20,05a292bbf1cbcb57dbbc1e50c042e3aef3b6f94a,ba1d977379befdf15f7093ce02f812ce5f589f15,1991,9,26,Mexico,194,68,L,L,7/30/2021,9/26/1991,2021,0,0,28,0,28,0,0,0,0,0,0,0,0,0,3,0,0,0,14,0,3,0,0,0,0,0,4,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,10,0,2,0,0,,0,,,,,,,0.0,,0,,,,1,,4.0,19.0,92.0,6.333333333333333,5.684210526315789,6,0.4736842105263157,0.1071428571428571,0.1071428571428571,0.2142857142857142,1.0,2.321428571428572,,,0.2453636363636363,1.0,0.123,,,,,,,,inf,inf,inf,inf,,5.0,9.0,7.0,1.0,1.8,p
21,21,c956a35dc203574f18ce58bc84bffb3e168da889,3340f3c86213464d1d399e3def96d78a3eecea29,1994,9,11,USA,168,74,L,L,8/26/2022,9/11/1994,2021,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,0,,,,0,,0.0,,0.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,22,2923b2767d40064620b34fd192dd7af293143844,423bf4648decae315c586b05eaeba588301cca97,1990,3,15,USA,201,74,R,R,6/29/2014,3/15/1990,2021,7,474,0,1,0,0,0,0,0,4527,0,0,0,104,0,0,0,208,0,31,0,8,0,1,0,58,0,2,0,30,0,9,0,2,0,5,0,2,0,5,0,1,0,1,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,72,0,164,0,25,0,96,440,0.2181818181818181,147,0.3340909090909091,0.2727272727272727,0.6068181818181818,0.2091954022988505,0.2363636363636363,0.0704545454545454,,0.1159090909090909,38,42.429545454545455,4.230769230769231,14.193548387096774,1,3.3548387096774195,0.0,,0.0,0.0,0.0,0,,,,,,,40.0,0.2675315315315315,,407.0,0.2131608910891089,6.0,0.195,0.9852579852579852,69.0,162.0,70.0,32.0,,,,,2.347826086956522,,,,,,ss
23,23,bcfe3b7e6b498b243aa5c5ddcb81d57e0176d976,069ecbec572b88b05773f8bdec483c3fd2e0c9e9,1995,4,1,USA,235,71,L,L,8/14/2020,4/1/1995,2021,1,2,426,0,426,0,0,0,0,0,0,0,0,2,82,0,0,0,170,0,39,0,8,0,5,0,70,0,2,0,21,0,7,0,1,0,17,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,100,0,113,0,23,0,2,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0399061032863849,0.0,0,0.0,1.0,inf,1,inf,60.0,269.0,1062.0,89.66666666666667,6.022304832713754,110,0.5539033457249071,0.1924882629107981,0.0915492957746478,0.2582159624413145,2.102564102564102,10.366197183098592,0.0,,0.3325913621262458,7.0,0.1506666666666666,,,,,,,,42.0,58.5,33.0,17.0,,84.0,117.0,66.0,34.0,1.3928571428571428,p
